"map_label","project_id","project_name","total_project_acres","restored_wetland_acres","short_name","name","previous_land_use","ag_notes","convertedag","meanrunoff_N","meanrunoff_P","SErunoff_N","SErunoff_P","runoff_P25","runoff_P75","runoff_N25","runoff_N75"
20,"M32020","Oakwoods Nature Preserve Wetland Restoration Project, West",77,77,"Oakwoods West","OAKW","agriculture","Leased to farmers by Hancock Parks for about ten years before construction. Typical crops for the area until construction start.",77,2652.24645892351,82.4532577903683,219.875354107649,6.87110481586402,34.3555240793201,82.4532577903683,996.310198300283,2892.73512747875
21,"M32021","Oakwoods Nature Preserve Wetland Restoration Project, East",65,65,"Oakwoods East","OAKE","agriculture","Leased field for ten years prior to construction. Typical crops.",65,2238.90934844193,69.6033994334278,185.609065155807,5.80028328611898,29.0014164305949,69.6033994334278,841.041076487252,2441.91926345609
22,"W74022","Fruth Wetland Nature Preserve",18,18,"Fruth Wetland","FRUW","","",0,0,0,0,0,0,0,0,0
23,"M88023","Andreoff Wetland Restoration",278,278,"Andreoff Wetland","ANDW","","",0,0,0,0,0,0,0,0,0
24,"W17024","Sandusky River Headwaters Preserve Wetland & Habitat Restoration",38,38,"Sandusky River Headwaters","SRHE","","",0,0,0,0,0,0,0,0,0
25,"M35025","Van Order Wetland & Forest Restoration",31,31,"Van Order","VANO","agriculture","18.5 acres was active farmland. The rest (12.5 acres) is either existing woodland or wooded riparian",18.5,637.228045325779,19.8101983002833,52.8271954674221,1.65084985835694,8.2542492917847,19.8101983002833,239.373229461756,695.007790368272
27,"M02027","Baughman H2Ohio Wetland Restoration Project",20,20,"Baughman Ditch","BAUD","other","",15,516.671388101983,16.0623229461756,42.8328611898017,1.3385269121813,6.69263456090651,16.0623229461756,194.086402266289,563.519830028329
29,"M20029","Defiance East River Drive",44,44,"Defiance East River","DERI","agriculture","Last crop was soy, 2023",44,1515.56940509915,47.1161473087819,125.643059490085,3.92634560906516,19.6317280453258,47.1161473087819,569.320113314448,1652.99150141643
30,"M74030","Springville Marsh Wetland Extension",66,66,"Springville Marsh","SPRM","","",0,0,0,0,0,0,0,0,0
31,"M35031","Rotary Riverside Preserve Restoration",57,57,"Maumee River Floodplain","MAUR","agriculture",NA,39.5,1360.56798866856,42.2974504249292,112.793201133144,3.52478753541077,17.6239376770538,42.2974504249292,511.094192634561,1483.93555240793
32,"W72032","Buehler Farms Treatment Wetland",45,45,"Buehler Farms","BUEF","no major change in land use","",0,0,0,0,0,0,0,0,0
33,"M86033","The Weisgerber-Pohlman Nature Preserve Restoration",75,75,"Weisgerber-Pohlman","WEIP","agriculture","The project area currently exists primarily as agricultural fields, which have been in production since 1907.",7,241.113314447592,7.4957507082153,19.9886685552408,0.624645892351275,3.12322946175637,7.4957507082153,90.5736543909348,262.975920679887
37,"W74037","Clary-Boulee-McDonald Nature Preserve",162,162,"Clary-Boulee-McDonald","CBMC","agriculture","",162,5580.05099150142,173.473087818697,462.594900849858,14.4560906515581,72.2804532577904,173.473087818697,2096.13314447592,6086.01416430595
40,"C47040","Martin's Run Wetland and Stream Restoration Project",19,19,"Martin's Run","MARR","agriculture","Was used for agriculture as recent as 2020",19,654.450424929179,20.3456090651558,54.2549575070822,1.69546742209632,8.47733711048159,20.3456090651558,245.842776203966,713.79178470255
41,"C67041","The Bird Family Bog Rehabilitation Project",170,170,"Bird Bog","BIRB","no major change in land use","",0,0,0,0,0,0,0,0,0
46,"M88046","Upper Blanchard River Watershed Project",30,30,"Upper Blanchard","UPPB","","",0,0,0,0,0,0,0,0,0
47,"M63047","Sugarcamp 7 Blanchard Habitat Project",20,20,"Sugarcamp 7","SUGB","no major change in land use","",0,0,0,0,0,0,0,0,0
48,"C52048","Litchfield Wetland Restoration",145,145,"Litchfield Wetland","LITW","agriculture","Soybean/fallow rotation for 10-12 years prior to construction",145,4994.49008498584,155.269121813031,414.050991501416,12.9390934844193,64.6954674220963,155.269121813031,1876.16855524079,5447.35835694051
49,"C04049","Trumbull Creek H2Ohio",30,30,"Trumbull Creek","TRUC","agriculture","Ag field left fallow prior to restoration previously soy bean and corn rotation.",30,1033.34277620397,32.1246458923513,85.6657223796034,2.67705382436261,13.385269121813,32.1246458923513,388.172804532578,1127.03966005666
50,"M87050","Fox-Shank Living Laboratory",16,16,"Otsego Schools","OTSS","agriculture","",16,551.116147308782,17.1331444759207,45.6883852691218,1.42776203966006,7.13881019830028,17.1331444759207,207.025495750708,601.087818696884
52,"M06052","City of St Marys Treatment Train",63,63,"St. Mary's","STMA","agriculture","soy/corn rotation",63,2170.01983002833,67.4617563739377,179.898016997167,5.62181303116147,28.1090651558074,67.4617563739377,815.162889518414,2366.78328611898
59,"W62059","Darby Refuge Wetland Reconnection",352,352,"Darby Refuge","DARR","no major change in land use","",0,0,0,0,0,0,0,0,0
60,"S54060","Burntwood-Langenkamp Wetland Conservation Area",90,90,"Burntwood-Langenkamp","BWLK","agriculture","farmland on a continuous soybean/corn rotation for 50-100 years. Last farmed in 2020",90,3100.0283286119,96.3739376770538,256.99716713881,8.03116147308782,40.1558073654391,96.3739376770538,1164.51841359773,3381.11898016997
61,"S23061","Brooks Park Wetland Creation & Water Quality Initiative",5,5,"Brooks Park","BROP","urban","",0,0,0,0,0,0,0,0,0
62,"S52062","Chippewa Lake Wetland Restoration",50,50,"Chippewa Lake","CHIL","agriculture","",50,1722.23796033994,53.5410764872521,142.776203966006,4.46175637393768,22.3087818696884,53.5410764872521,646.954674220963,1878.39943342776
63,"S13063","Williamsburg Wetland Treatment System",10,3.5,"East Fork Lake","EFLA","riparian",NA,0,0,0,0,0,0,0,0,0
64,"S55064","Springcreek Confluence Off-Channel Wetlands",55,55,"Springcreek Confluence","SPRC","agriculture","Land was previously farmed on a corn/soybean rotation with a history of flooding from the Great Miami River- unsure what year farming ended.",55,1894.46175637394,58.8951841359773,157.053824362606,4.90793201133144,24.5396600566572,58.8951841359773,711.650141643059,2066.23937677054
65,"S55065","Tipp City Off-Channel Wetland",20,20,"Tipp City","TIPC","agriculture","Land was part of City of Tipp City wellhead preservation. Looked like it was being farmed prior to construction but not sure. Can't find any information on when and what was last farmed here.",20,688.895184135977,21.4164305949008,57.1104815864023,1.78470254957507,8.92351274787535,21.4164305949008,258.781869688385,751.359773371105
66,"S21066","O'Donnell Wetland Restoration and Treatment Train",210,210,"O'Donnell Wetland","ODOW","agriculture","",210,7233.39943342776,224.872521246459,599.660056657224,18.7393767705382,93.6968838526912,224.872521246459,2717.20963172805,7889.2776203966
68,"S70068","Black Fork Forest Preserve Wetland Restoration Project",160,160,"Black Fork","BLAF","agriculture","Soybean on 2022",160,5511.16147308782,171.331444759207,456.883852691218,14.2776203966006,71.3881019830028,171.331444759207,2070.25495750708,6010.87818696884
71,"S25071","Walnut Creek Treatment Wetland Restoration",72,72,"Walnut Creek","WALC","agriculture",NA,72,2480.02266288952,77.0991501416431,205.597733711048,6.42492917847026,32.1246458923513,77.0991501416431,931.614730878187,2704.89518413598
72,"S50072","Forest Lawn Stormwater Park ",14.6,14.6,"Forest Lawn","FORL","urban","",0,0,0,0,0,0,0,0,0
76,"S57076","Spring Run Conservation Area Wetland Restoration Project",57,57,"Spring Run","SPRR","other","",0,0,0,0,0,0,0,0,0
78,"S09079","Indian Creek - Hoffmann Wetland and Stream Restoration",22,22,"Indian Creek","INDC","no major change in land use","",0,0,0,0,0,0,0,0,0
79,"S31080","Gorman Heritage Farm Treatment Wetland System",23,23,"Gorman Farm","GORF","agriculture","",23,792.229461756374,24.628895184136,65.6770538243626,2.05240793201133,10.2620396600567,24.628895184136,297.599150141643,864.063739376771
90,"W88090","Killdeer Reservoir Wetland Project",80,80,"Killdeer Reservoir","KILR","","",0,0,0,0,0,0,0,0,0
94,"M69094","Putnam Oxbow Restoration",36,36,"Putnam Oxbow","PUTO","","",0,0,0,0,0,0,0,0,0
95,"M02095","Elizabeth St Stormwater Control (Village of Spencerville)",7,7,"Spencerville Stormwater","SPES","agriculture","former soy/corn crop rotation ag field",7,241.113314447592,7.4957507082153,19.9886685552408,0.624645892351275,3.12322946175637,7.4957507082153,90.5736543909348,262.975920679887
96,"S21096","Perfect Creek Treatment Wetlands",8,8,"Perfect Creek","PERC","agriculture","rowcrop 2021",8,275.558073654391,8.56657223796034,22.8441926345609,0.713881019830028,3.56940509915014,8.56657223796034,103.512747875354,300.543909348442
105,"S54105","Coldwater Wetlands Park",7,7,"Coldwater Wetlands","COLW","agriculture","rowcrop unknown last rotation",7,241.113314447592,7.4957507082153,19.9886685552408,0.624645892351275,3.12322946175637,7.4957507082153,90.5736543909348,262.975920679887
123,"C43201","Grand River Casement Floodplain Restoration Project",67,67,"Grand River Floodplain","GRFL","other","",0,0,0,0,0,0,0,0,0
206,"W87206","Henry Creek Wetland and Floodplain Restoration",NA,NA,"Henry Creek","HENC","agriculture","General row-crop fields in use up to construction",NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"S54067","Mercer Wetland Phase 1",40,40,"Mercer Phase 1","MERW1","agriculture",NA,35,1205.56657223796,37.4787535410765,99.943342776204,3.12322946175637,15.6161473087819,37.4787535410765,452.868271954674,1314.87960339943
67,"S54067","Mercer Wetland Phase 2",55,55,"Mercer Phase 2","MERW2","agriculture",NA,35,1205.56657223796,37.4787535410765,99.943342776204,3.12322946175637,15.6161473087819,37.4787535410765,452.868271954674,1314.87960339943
67,"S54067","Mercer Wetland Phase 3",10,10,"Mercer Phase 3","MERW3","agriculture",NA,5,172.223796033994,5.35410764872521,14.2776203966006,0.446175637393768,2.23087818696884,5.35410764872521,64.6954674220963,187.839943342776
